corpus_id,domain,strategy,chunk_size,embedding_model,threshold,hit_rate_at_1,hit_rate_at_3,hit_rate_at_5,mrr,ndcg_at_5,context_precision
arduino,hardware_manual,fixed_size,256,sentence-transformers/all-MiniLM-L6-v2,0.5,0.79,0.93,0.97,0.8666666666666666,0.8929386327515106,0.522
arduino,hardware_manual,fixed_size,256,sentence-transformers/all-MiniLM-L6-v2,0.6,0.71,0.87,0.92,0.7969999999999999,0.8281164583595705,0.318
arduino,hardware_manual,fixed_size,256,sentence-transformers/all-MiniLM-L6-v2,0.7,0.61,0.81,0.88,0.7198333333333332,0.7602196446197935,0.21599999999999997
arduino,hardware_manual,fixed_size,256,sentence-transformers/all-MiniLM-L6-v2,0.8,0.54,0.76,0.8,0.6528333333333333,0.6903561804574097,0.17199999999999996
arduino,hardware_manual,fixed_size,256,sentence-transformers/all-MiniLM-L6-v2,0.9,0.52,0.74,0.78,0.6311666666666667,0.6690468829216951,0.162
arduino,hardware_manual,fixed_size,256,BAAI/bge-large-en-v1.5,0.5,0.85,0.93,0.97,0.895,0.9137735500015086,0.5319999999999999
arduino,hardware_manual,fixed_size,256,BAAI/bge-large-en-v1.5,0.6,0.76,0.88,0.93,0.8236666666666668,0.8502606731452831,0.32600000000000007
arduino,hardware_manual,fixed_size,256,BAAI/bge-large-en-v1.5,0.7,0.69,0.84,0.89,0.7698333333333331,0.800059625779753,0.22200000000000003
arduino,hardware_manual,fixed_size,256,BAAI/bge-large-en-v1.5,0.8,0.63,0.8,0.87,0.7231666666666666,0.7599824544769354,0.19199999999999995
arduino,hardware_manual,fixed_size,256,BAAI/bge-large-en-v1.5,0.9,0.59,0.78,0.85,0.6915,0.73129175201265,0.17799999999999994
arduino,hardware_manual,fixed_size,256,nomic-ai/nomic-embed-text-v1.5,0.5,0.83,0.92,0.97,0.8815,0.9035131381011801,0.518
arduino,hardware_manual,fixed_size,256,nomic-ai/nomic-embed-text-v1.5,0.6,0.74,0.88,0.93,0.8148333333333333,0.8437503282440383,0.32000000000000006
arduino,hardware_manual,fixed_size,256,nomic-ai/nomic-embed-text-v1.5,0.7,0.66,0.81,0.9,0.7461666666666668,0.7842244405334199,0.23200000000000004
arduino,hardware_manual,fixed_size,256,nomic-ai/nomic-embed-text-v1.5,0.8,0.61,0.78,0.86,0.7008333333333333,0.7403559124610746,0.18799999999999997
arduino,hardware_manual,fixed_size,256,nomic-ai/nomic-embed-text-v1.5,0.9,0.57,0.76,0.84,0.6691666666666667,0.7116652099967891,0.17399999999999996
arduino,hardware_manual,fixed_size,512,sentence-transformers/all-MiniLM-L6-v2,0.5,0.85,0.97,0.97,0.905,0.9217836778214311,0.6279999999999999
arduino,hardware_manual,fixed_size,512,sentence-transformers/all-MiniLM-L6-v2,0.6,0.72,0.9,0.92,0.81,0.8382529941971865,0.39199999999999996
arduino,hardware_manual,fixed_size,512,sentence-transformers/all-MiniLM-L6-v2,0.7,0.58,0.78,0.82,0.68,0.7155572278229397,0.23399999999999999
arduino,hardware_manual,fixed_size,512,sentence-transformers/all-MiniLM-L6-v2,0.8,0.51,0.72,0.77,0.617,0.6557350534309998,0.16999999999999996
arduino,hardware_manual,fixed_size,512,sentence-transformers/all-MiniLM-L6-v2,0.9,0.5,0.7,0.74,0.6028333333333333,0.6377375853859805,0.15199999999999997
arduino,hardware_manual,fixed_size,512,BAAI/bge-large-en-v1.5,0.5,0.86,0.97,0.97,0.9133333333333334,0.9280929753571456,0.6559999999999999
arduino,hardware_manual,fixed_size,512,BAAI/bge-large-en-v1.5,0.6,0.76,0.92,0.96,0.8478333333333333,0.8764282878502658,0.446
arduino,hardware_manual,fixed_size,512,BAAI/bge-large-en-v1.5,0.7,0.67,0.84,0.88,0.759,0.7896807528061626,0.254
arduino,hardware_manual,fixed_size,512,BAAI/bge-large-en-v1.5,0.8,0.58,0.8,0.85,0.6916666666666665,0.7316006984688747,0.18799999999999997
arduino,hardware_manual,fixed_size,512,BAAI/bge-large-en-v1.5,0.9,0.57,0.78,0.83,0.675,0.7139821033974456,0.16999999999999996
arduino,hardware_manual,fixed_size,512,nomic-ai/nomic-embed-text-v1.5,0.5,0.85,0.97,0.97,0.9083333333333334,0.9244022728928603,0.638
arduino,hardware_manual,fixed_size,512,nomic-ai/nomic-embed-text-v1.5,0.6,0.73,0.91,0.96,0.831,0.8637864710213664,0.418
arduino,hardware_manual,fixed_size,512,nomic-ai/nomic-embed-text-v1.5,0.7,0.63,0.8,0.86,0.7295,0.7626604140831629,0.25000000000000006
arduino,hardware_manual,fixed_size,512,nomic-ai/nomic-embed-text-v1.5,0.8,0.56,0.75,0.81,0.6656666666666666,0.7022221765747743,0.184
arduino,hardware_manual,fixed_size,512,nomic-ai/nomic-embed-text-v1.5,0.9,0.53,0.73,0.79,0.639,0.6772221765747743,0.162
arduino,hardware_manual,fixed_size,1024,sentence-transformers/all-MiniLM-L6-v2,0.5,0.82,0.92,0.96,0.8778333333333334,0.8985725026359784,0.728
arduino,hardware_manual,fixed_size,1024,sentence-transformers/all-MiniLM-L6-v2,0.6,0.68,0.88,0.9,0.7744999999999999,0.8065054591530832,0.478
arduino,hardware_manual,fixed_size,1024,sentence-transformers/all-MiniLM-L6-v2,0.7,0.5,0.67,0.72,0.5903333333333334,0.6231164583595706,0.26199999999999996
arduino,hardware_manual,fixed_size,1024,sentence-transformers/all-MiniLM-L6-v2,0.8,0.37,0.55,0.62,0.46699999999999997,0.5054206919853239,0.14999999999999997
arduino,hardware_manual,fixed_size,1024,sentence-transformers/all-MiniLM-L6-v2,0.9,0.32,0.5,0.57,0.4165,0.4549824544769354,0.11999999999999998
arduino,hardware_manual,fixed_size,1024,BAAI/bge-large-en-v1.5,0.5,0.92,0.94,0.97,0.9375,0.945538891813631,0.7460000000000001
arduino,hardware_manual,fixed_size,1024,BAAI/bge-large-en-v1.5,0.6,0.8,0.88,0.9,0.8433333333333334,0.8577786139114698,0.508
arduino,hardware_manual,fixed_size,1024,BAAI/bge-large-en-v1.5,0.7,0.62,0.74,0.78,0.685,0.7090107401443668,0.294
arduino,hardware_manual,fixed_size,1024,BAAI/bge-large-en-v1.5,0.8,0.5,0.64,0.71,0.5803333333333334,0.6128020969138948,0.17799999999999996
arduino,hardware_manual,fixed_size,1024,BAAI/bge-large-en-v1.5,0.9,0.44,0.59,0.67,0.5245000000000001,0.5607995649589141,0.13799999999999998
arduino,hardware_manual,fixed_size,1024,nomic-ai/nomic-embed-text-v1.5,0.5,0.81,0.96,0.99,0.8898333333333334,0.9153739872254288,0.7339999999999999
arduino,hardware_manual,fixed_size,1024,nomic-ai/nomic-embed-text-v1.5,0.6,0.72,0.9,0.95,0.8176666666666667,0.8511678759499373,0.5060000000000001
arduino,hardware_manual,fixed_size,1024,nomic-ai/nomic-embed-text-v1.5,0.7,0.55,0.77,0.85,0.6656666666666666,0.7119078151290985,0.306
arduino,hardware_manual,fixed_size,1024,nomic-ai/nomic-embed-text-v1.5,0.8,0.45,0.71,0.82,0.586,0.6443898743629117,0.19999999999999996
arduino,hardware_manual,fixed_size,1024,nomic-ai/nomic-embed-text-v1.5,0.9,0.41,0.65,0.76,0.5371666666666667,0.5926423393188087,0.15799999999999997
arduino,hardware_manual,fixed_overlap,256,sentence-transformers/all-MiniLM-L6-v2,0.5,0.85,0.96,0.98,0.9023333333333333,0.9219021388946927,0.57
arduino,hardware_manual,fixed_overlap,256,sentence-transformers/all-MiniLM-L6-v2,0.6,0.78,0.9,0.95,0.8465,0.8724410307083238,0.366
arduino,hardware_manual,fixed_overlap,256,sentence-transformers/all-MiniLM-L6-v2,0.7,0.71,0.86,0.92,0.7906666666666666,0.8230570938247723,0.272
arduino,hardware_manual,fixed_overlap,256,sentence-transformers/all-MiniLM-L6-v2,0.8,0.63,0.82,0.9,0.7368333333333333,0.7777788751564245,0.22400000000000003
arduino,hardware_manual,fixed_overlap,256,sentence-transformers/all-MiniLM-L6-v2,0.9,0.61,0.78,0.87,0.7088333333333332,0.7490288081573406,0.204
arduino,hardware_manual,fixed_overlap,256,BAAI/bge-large-en-v1.5,0.5,0.84,0.95,0.96,0.897,0.9132708009652057,0.5660000000000001
arduino,hardware_manual,fixed_overlap,256,BAAI/bge-large-en-v1.5,0.6,0.8,0.95,0.95,0.87,0.890711570428575,0.37400000000000005
arduino,hardware_manual,fixed_overlap,256,BAAI/bge-large-en-v1.5,0.7,0.74,0.91,0.91,0.8183333333333332,0.8420208679642894,0.282
arduino,hardware_manual,fixed_overlap,256,BAAI/bge-large-en-v1.5,0.8,0.69,0.87,0.91,0.7839999999999999,0.8159900503418772,0.23399999999999999
arduino,hardware_manual,fixed_overlap,256,BAAI/bge-large-en-v1.5,0.9,0.65,0.86,0.89,0.7548333333333334,0.7893018798325724,0.206
arduino,hardware_manual,fixed_overlap,256,nomic-ai/nomic-embed-text-v1.5,0.5,0.85,0.97,0.98,0.9086666666666666,0.9269615034294912,0.548
arduino,hardware_manual,fixed_overlap,256,nomic-ai/nomic-embed-text-v1.5,0.6,0.78,0.93,0.96,0.8603333333333333,0.8858122247338173,0.36800000000000005
